asset_category,asset_name,holding,market_value,coal,oil_gas,arms,tobacco
Equities,HEWLETT PACKARD ENTERPRISE CO COM,154000,1899687,No,No,No,No
Equities,HG CAPITAL TRUST ORD GBP0.25,447623,5196903,No,No,No,No
Equities,HICL INFRASTRUCTURE COMPANY LIMITED ORD GBP0.0001,15919994,25344630,No,No,No,No
Equities,HIROSE ELECTRIC NPV,35840,2746593,No,No,No,No
Equities,HON HAI PRECISION TWD10,7526618,13781480,No,No,No,No
Equities,HONEYWELL INTL INC COM STK,174772,13626210,No,No,Yes,No
Equities,HONG KONG & CHINA GAS HKD0.25,3084290,4005971,No,No,No,No
Equities,HORMEL FOODS CORP COM,267000,8030620,No,No,No,No
Equities,HOWARD HUGHES CORP COM STOCK,5810,427837,No,No,No,No
Equities,HOWDEN JOINERY GR ORD GBP0.10,780000,3728400,No,No,No,No
Equities,HP INC COM,154000,1318959,No,No,No,No
Equities,HUTCHISON PORT HL NPV (USD),38925122,13405647,No,No,No,No
Equities,IDEX CORP COM,242836,14001128,No,No,No,No
Equities,IG GROUP HLDGS ORD GBP0.00005,842266,6733917,No,No,No,No
Equities,IGM FINANCIAL INC COM NPV,167000,3508744,No,No,No,No
Equities,ILL TOOL WKS INC COM,194126,13839903,No,No,No,No
Equities,IMPERIAL BRANDS PLC GBP0.10,699979,27040189,No,No,No,No
Equities,INCITEC PIVOT NPV,3211129,5482372,No,No,No,No
Equities,INFOSYS LIMITED ADR,263638,3486926,No,No,No,No
Equities,INPEX CORPORATION NPV,34700,183289,No,Yes,No,No
Equities,INTACT FINL CORP COM NPV,99000,4836371,No,No,No,No
Equities,INTEL CORP COM,284300,6396899,No,No,No,No
Equities,INTERNATIONAL BUSINESS MACHS CORP COM,216234,22786338,No,No,No,No
Equities,INTERPUBLIC GROUP COMPANIES INC COM,397200,6336740,No,No,No,No
Equities,INTUITIVE SURGICAL INC COM NEW STK,1063,444407,No,No,No,No
Equities,IOMART GROUP ORD GBP0.01,120000,324000,No,No,No,No
Equities,IQE PLC ORD GBP0.01,1000000,230000,No,No,No,No
Equities,ITC HLDGS CORP COM STK,52731,1597376,No,No,No,No
Equities,ITRON INC COM STK NPV,88200,2560150,No,No,No,No
Equities,ITV ORD GBP0.10,1336639,3222637,No,No,No,No
Equities,JAPAN EXCHANGE GROUP INC NPV,62600,666513,No,No,No,No
Equities,JARDINE MATHESON HLDGS USD0.25(SING QUOTE),20800,824880,No,No,No,No
Equities,JOHNSON & JOHNSON COM USD1,373952,28143318,No,No,No,No
Equities,JOHNSON MATTHEY,49617,1360002,No,No,No,No
Equities,JULIUS BAER GRUPPE CHF0.02 (REGD),255455,7664966,No,No,No,No
Equities,JUPITER FUND MGT ORD GBP0.02,880000,3598320,No,No,No,No
Equities,KAMAN CORP COM,316405,9393308,No,No,No,No
Equities,KAMIGUMI CO LTD NPV,56000,366758,No,No,No,No
Equities,KDDI CORP NPV,290900,5409402,No,No,No,No
Equities,KELLOGG CO COM USD0.25,98700,5256721,No,No,No,No
Equities,KIMBERLY-CLARK CORP COM,55500,5195137,No,No,No,No
Equities,KIRBY CORP COM,14769,619203,No,No,No,No
Equities,KOHLS CORP COM,120585,3908756,No,No,No,No
Equities,KONINKLIJKE AHOLD,344895,5404676,No,No,No,No
Equities,KONINKLIJKE DSM NV EUR1.50,31212,1194620,No,No,No,No
Equities,KONINKLIJKE PHILIP EUR0.20,147624,2930155,No,No,No,No
Equities,KROGER CO COM,480200,12779275,No,No,No,No
Equities,KUEHNE&NAGEL INTL CHF1 (REGD),137888,13684311,No,No,Yes,No
Equities,LAB CORP AMER HLDGS COM NEW,51854,4224660,No,No,No,No
Equities,LAFARGEHOLCIM LTD,218110,7165589,No,No,No,No
Equities,LEUCADIA NATL CORP COM,33674,378373,No,No,No,No
Equities,LEXMARK INTL INC NEW CL A,121200,2817291,No,No,No,No
Equities,LINCOLN ELEC HLDGS INC COM,25229,1027556,No,No,No,No
Equities,LIVE NATION ENTERTAINMENT INC,155600,2413083,No,No,No,No
Equities,LOCKHEED MARTIN CORP COM,399495,61565539,No,No,Yes,No
Equities,LOEWS CORP COM,126500,3367349,No,No,No,No
Equities,LOOKERS GBP0.05,240000,380160,No,No,No,No
Equities,L'OREAL EUR0.20,35697,4456156,No,No,No,No
Equities,LVMH MOET HENNESSY LOUIS VUITTON SE EUR0.30,23500,2804080,No,No,No,No
Equities,M J GLEESON PLC ORD GBP0.02,68000,405280,No,No,No,No
Equities,MALAYAN BKG BERHAD MYR1,3227000,5179197,No,No,No,No
Equities,MARKEL CORP HOLDING CO COM,3808,2362137,No,No,No,No
Equities,MARSH & MCLENNAN CO'S INC COM,126300,5340048,No,No,No,No
Equities,MARTIN MARIETTA MATLS INC COM,12928,1434106,No,No,No,No
Equities,MASTERCARD INC CL A,118832,7809693,No,No,No,No
Equities,MAXIM INTEGRATED PRODS INC COM,105400,2696416,No,No,No,No
Equities,MAXIS BHD MYR0.10,4159000,4709596,No,No,No,No
Equities,MC DONALDS CORP COM,217942,19084521,No,No,No,No
Equities,MCKESSON CORP,36300,3971457,No,No,No,No
Equities,MEDTRONIC PLC COMMON STOCK STOCK,79990,4172303,No,No,No,No
Equities,MELROSE INDUST PLC,389821,1389712,No,No,No,No
Equities,MERCK & CO INC NEW COM,618040,22751338,No,No,No,No
Equities,METRO INC COM NPV,309300,7486785,No,No,No,No
Equities,MICHELIN (CGDE) EUR2,49029,3495387,No,No,No,No
Equities,MICRO FOCUS INTERNATIONAL PLC ORD GBP0.10,748578,11745189,No,No,No,No
Equities,MICROSOFT CORP COM,120000,4610311,No,No,No,No
Equities,MONDELEZ INTL INC COM,176900,4937889,No,No,No,No
Equities,MONEYSUPERMARKET.C ORD GBP0.0002,783755,2489206,No,No,No,No
Equities,MONSANTO CO NEW COM,13697,836134,No,No,No,No
Equities,MOODYS CORP COM,34105,2290751,No,No,No,No
Equities,MPF EMERGING MARKETS EQTY INDEX,988704,3671551,No,No,No,No
Equities,MPF UK INDEX LINKED GILTS OVER 15 YRS 80244,7035460,16167487,No,No,No,No
Equities,"MS&AD INSURANCE GROUP HOLDINGS, INC. NPV",101900,1977504,No,No,No,No
Equities,MTN GROUP LTD ZAR0.0001,50459,322520,No,No,No,No
Equities,MTR CORP HKD1,1545500,5302546,No,No,No,No
Equities,MTU AERO ENGINES A NPV (REGD),47900,3195771,No,No,No,No
Equities,MUENCHENER RUECKVE NPV(REGD),17423,2465048,No,No,No,No
Equities,MYRIAD GENETICS INC COM,50473,1314412,No,No,No,No
Equities,NABORS INDUSTRIES COM USD0.10,161200,1031824,No,No,No,No
Equities,NASPERS 'N' ZAR0.02,33423,3257665,No,No,No,No
Equities,NATIONAL GRID ORD GBP0.113953,473791,4675843,No,No,No,No
Equities,NATIONAL OILWELL VARCO COM STK,135300,2927594,No,No,No,No
Equities,NATL BK OF CANADA COM NPV,222974,5088974,No,No,No,No
Equities,NESTLE SA CHF0.10(REGD),346316,18077780,No,No,No,No
Equities,NEXT ORD GBP0.10,201613,10877021,No,No,No,No
Equities,NEXTERA ENERGY INC COM,91243,7510582,No,No,No,No
Equities,NIPPON TELEGRAPH & TELEPHONE CORP NPV,421000,12631668,No,No,No,No
